isbn,title,authors,publisher,year
9780746070833,"Out of the Shadows (Spy Girl, #2)",Carol Hedges,Usborne,2006
9780603567469,Gone X 3,Michael Grant,Farshore,2012
9781788883771,101 Awesome Women Who Changed Our World,"Julia Adams, Louise Wright",Arcturus,2018
9780241491515,A Promised Land,"Barack Obama, Francisco José Ramos Mena, Efrén del Valle Peñamil, Marcos Pérez Sánchez, Carmen Mercedes Cáceres, Andrés Barba Muñiz",Penguin Viking,
9780241437445,Empire 2. 0,Kehinde Andrews,"Penguin Books, Limited",2021
9780008164652,Bad Dad,David Walliams,,2017
9781841195674,Charles Darwin,Cyril Aydon,Constable and Robinson,2002
9781840460568,Introducing postmodernism,Richard Appignanesi,Icon Books,1999
9781785943515,Sky at Night - Book of the Moon - A Guide to Our Closest Neighbour,Maggie Aderin-Pocock,Penguin Random House,2018
9781853260438,Northanger Abbey,Jane Austen,Wordsworth,1994
9780552576482,"Everything, everything","Nicola Yoon, Eric Chevreau (Traduction)",Delacorte Press,2017
9780241953235,Watership Down,Richard Adams,"Penguin Books, Limited",2012
9780857503527,Sunfall,Jim Al-Khalili,Bantam,2020
9781784164836,Book of Echoes - An Astonishing Debut. 'Impassioned. Lyrical and Affecting' GUARDIAN,Rosanna Amaka,Transworld Publishers Limited,2021
9781853260162,Sense and sensibility,Jane Austen,Wordsworth Editions,2000
9781781255582,Fifteen Dogs,André Alexis,Serpent's Tail,2015
9780330491211,The Restaurant at the End of the Universe,Douglas Adams,Picador,2002
9780330491235,"So Long, and Thanks for All the Fish",Douglas Adams,Picador,2002
9780330491228,Mostly Harmless,Douglas Adams,Picador,2002
9780330491204,"Life, the Universe and Everything",Douglas Adams,Picador,2002
9780330491198,The Hitch Hiker's Guide to the Galaxy,Douglas Adams,Picador,2002
9780141038360,Pathfinders - The Golden Age of Arabic Science,Jim Al-Khalili,"Penguin Books, Limited",2012
9781529111538,Djinn Patrol on the Purple Line - Longlisted for the Women's Prize 2020,"Deepa Anappara, Deepa Anappara",Penguin Random House,2021
9780552771153,Brick Lane,Monica Ali,Black Swan,2004
9780192727480,Peter Pan,J. M. Barrie,Oxford University Press,2007
9780007197903,Shakespeare - the world as a stage,Bill Bryson,Harper Perennial,2008
9781909531192,The Boy In The Striped Pyjamas,John Boyne,Deinitions,2014
9781407172842,Ink,Alice Broadway,Scholastic Press,2017
9780552551656,Thief,Malorie Blackman,Corgi,2004
9780241334003,Notes of a Native Son,James Baldwin,"Penguin Books, Limited",2017
9780857300119,Triumphs of Eugene Valmont,Robert Barr,Crime & Mystery Club Ltd,2016
9780552548922,Knife Edge,Malorie Blackman,Random House,2005
9780141439556,Wuthering Heights,Emily Brontë,Penguin Books,2003
9781862305274,The boy in the striped pyjamas,John Boyne,Definition books,2008
9780753410189,Science Fiction Stories,"Edward Blishen, Isaac Asimov, Ray Bradbury, Karin Littlewood",Kingfisher,2004
9780330398701,"The works 5 - every kind of poem, from an alphabet of poets, that you will ever need for the literacy hour",Paul Cookson,Macmillan Children's Books,2006
9780330507677,The Track of Sand (Inspector Montalbano Mysteries),Andrea Camilleri,Picador,2000
9780552553537,The Deadly Dare Mysteries,Malorie Blackman,Corgi,2005
9780006374923,Wild swans - three daughters of China,Jung Chang,Flamingo,1993
9780330492997,Voice of the Violin,Andrea Camilleri,PICADOR (MACM),2006
9780241382592,"Bud, Not Buddy","Christopher Paul Curtis, Reginald André Jackson, Alberto Jimenez Rioja, aa","Penguin Books, Limited",2019
9780241984017,Confessions of Frannie Langton - A Novel,Sara Collins,"Penguin Books, Limited",2019
9781905654420,Twilight,Stephenie Meyer,Atom,2008
9780141984018,"Penguin Modern Poets 3 - Your Family, Your Body","Malika Booker, Sharon Olds, Warsan Shire","Penguin Books, Limited",2017
9781785940699,Doctor Who: The Glamour Chronicles - Royal Blood,Una McCormack,The Book People UK,2015
9780140620627,Moby Dick (Penguin Popular Classics),Herman Melville,Penguin Books,1998
9780755339129,The Hunt for Atlantis,Andy McDermott,Headline,2008
